"Source:","/home/konstantin/rov/ROV_power_board/ROV.kicad_sch"
"Date:","Tue 07 Jan 2025 01:55:14 PM +03"
"Tool:","Eeschema 6.0.8+dfsg-1~bpo11+1+rpt1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","23"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","470 uF","Device:C","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","~"
"","","C2","470 uF","Device:C","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","~"
"","","C3","470 uF","Device:C","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","~"
"","","C4","470 uF","Device:C","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","~"
"","","C5","470 uF","Device:C","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","~"
"","","D1","P6KEA16A","Device:D_TVS","Diode_THT:D_DO-15_P12.70mm_Horizontal","~"
"","","H1","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"","","H2","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"","","H3","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"","","H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"","","IC1","DCDC_Module_LM2596","ROV_Parts_Custom:DCDC_Module_LM2596","ROV_Custom_Footprints:DCDC_Module_2596",""
"","","J1","Tether Anderson Powerpole","Connector_Generic:Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"","","J2","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J3","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J4","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J5","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J6","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J7","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J8","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J9","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J10","Aux TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J11","Aux TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"","","J12","JST8","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","5","C1, C2, C3, C4, C5","470 uF","Device:C","Capacitor_THT:CP_Radial_D10.0mm_P3.50mm","~"
"2","1","D1","P6KEA16A","Device:D_TVS","Diode_THT:D_DO-15_P12.70mm_Horizontal","~"
"3","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","MountingHole:MountingHole_4.3mm_M4","~"
"4","1","IC1","DCDC_Module_LM2596","ROV_Parts_Custom:DCDC_Module_LM2596","ROV_Custom_Footprints:DCDC_Module_2596",""
"5","1","J1","Tether Anderson Powerpole","Connector_Generic:Conn_01x02","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","~"
"6","8","J2, J3, J4, J5, J6, J7, J8, J9","ESC TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"7","2","J10, J11","Aux TX30","Connector_Generic:Conn_01x02","Connector_AMASS:AMASS_XT30U-M_1x02_P5.0mm_Vertical","~"
"8","1","J12","JST8","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_S2B-XH-A_1x02_P2.50mm_Horizontal","~"
